time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q
132,"[1.06, 1.0449999999999997, 1.0100000000000002, 1.0394135379765703, 1.0386242161853523, 1.0699999999999998, 1.0852911376203531, 1.09, 1.094191160085862, 1.089646813117864, 1.0798990817885945, 1.0712605595051268, 1.0727879553239097, 1.084173545930472]","[0.0, 1.1293598290132347, 1.242378828165228, 0.6875695148094406, 0.7256233127897896, 0.7051855354665691, 0.46308825583472274, 0.4630882558347226, 0.34838594291480246, 0.3863823303314227, 0.5240180935857525, 0.6621475286325631, 0.6109191028195105, 0.4196806462253573]","[0.8647648295628617, 3.7539560804065197, 1.904873679866578, 0.30286694491602506, 0.44633023461308874, 1.1756019572398337, 0.3586582242426612, 0.1394781983165904, 0.24309057420891472, 0.5379873363639921, 0.5937786156906276]","[0.5061066053201999, 0.7571673622900614, -0.15541856383848635, 0.06376146208758421, 0.2988818535355508, 0.6615251691586862, 0.2311353000674928, 0.07173164484853214, 0.06376146208758421, 0.2311353000674928, 0.1992545690237005]","[40.0, 0.0, 0.0, 0.0]","[-21.533381216209342, -36.32107346004025, -26.566391846993678, 2.9138007344962844]"
133,"[1.06, 1.045, 1.0100000000000002, 1.0395818077328056, 1.0387572987142937, 1.0700000000000003, 1.0854943282287133, 1.09, 1.0945361028787537, 1.090002278319255, 1.0801133079221097, 1.0714190175765654, 1.0730062318584221, 1.0846326537176472]","[0.0, 1.189477956406814, 1.381413775767529, 0.7972111072374388, 0.8203446185469735, 0.8536073726258675, 0.6008994148435194, 0.6008994148435195, 0.5006061293268963, 0.5405006079413368, 0.6764551611671156, 0.8187735096277905, 0.7678597901865387, 0.5831349340944982]","[0.6489726320112416, 2.8171991675326673, 1.4295341847989542, 0.22728995406845307, 0.33495361652193023, 0.8822439006604426, 0.2691591561336944, 0.10467300516310331, 0.18243009471283725, 0.4037387342005418, 0.44560793626578266]","[0.37981347587754666, 0.5682248851711318, -0.11663563432460076, 0.04785051664599011, 0.2242992967780785, 0.4964491102021474, 0.1734581228417142, 0.053831831226738805, 0.04785051664599011, 0.1734581228417142, 0.14953286451871897]","[40.0, 0.0, 0.0, 0.0]","[-21.936381150790055, -36.863890867838, -26.89857601608867, 2.78806825472741]"
134,"[1.06, 1.0450000000000002, 1.01, 1.0396858545124492, 1.03883939916958, 1.07, 1.0856202143299336, 1.09, 1.0947500209958194, 1.0902227978301842, 1.080246237137761, 1.0715174323899967, 1.0731417735311843, 1.084917598173374]","[0.0, 1.2268166548505133, 1.4677842772370453, 0.8653247780679028, 0.8791895671546311, 0.9458104889210005, 0.6865142125740555, 0.6865142125740555, 0.595170729397563, 0.6362437732164183, 0.7711539414801674, 0.9160740808319895, 0.8653560871107401, 0.6846746872388448]","[0.5148456949027235, 2.234952279255138, 1.1340840652695923, 0.18031462125625322, 0.2657268102723727, 0.6999054377709827, 0.21353047254029986, 0.08303962821011655, 0.14472620916620318, 0.32029570881044994, 0.3535115600944962]","[0.30131522236242325, 0.4507865531406324, -0.09252987143412983, 0.037960972896053304, 0.17794206045024974, 0.393845093796553, 0.13760852674819327, 0.042706094508059914, 0.037960972896053304, 0.13760852674819327, 0.11862804030016648]","[40.0, 0.0, 0.0, 0.0]","[-22.184275874471766, -37.20038162065894, -27.104333922292273, 2.7101710930300857]"
135,"[1.06, 1.0449999999999997, 1.01, 1.039736954668045, 1.0388796674554968, 1.07, 1.08568211013864, 1.0899999999999999, 1.094855259763053, 1.0903313056108004, 1.080311654116127, 1.07156588959135, 1.0732085040938728, 1.0850578427770268]","[0.0, 1.2452015703100303, 1.5103165057303927, 0.8988674054294217, 0.9081679028157442, 0.9912153201233583, 0.7286755917124338, 0.7286755917124338, 0.6417389809187868, 0.6833922401146226, 0.8177881139943529, 0.9639893574399431, 0.9133678103841294, 0.7346767559911789]","[0.4487756093054847, 1.9481411242662032, 0.9885471946913431, 0.15717486777519268, 0.2316261209318625, 0.610086657811603, 0.1861281328916755, 0.0723831627912071, 0.1261535122932467, 0.27919219933751344, 0.30814546445399593]","[0.2626474764138089, 0.39293716943798107, -0.0806555242530593, 0.03308944584740898, 0.15510677740972947, 0.34330300066686814, 0.11994924119685758, 0.03722562657833505, 0.03308944584740898, 0.11994924119685758, 0.10340451827315297]","[40.0, 0.0, 0.0, 0.0]","[-22.305657605615202, -37.36588128663438, -27.20548825161773, 2.6718705358400197]"
136,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.0396308425904333, 1.0387960088908108, 1.07, 1.085553631802686, 1.0899999999999999, 1.0946368572821223, 1.090106134691608, 1.0801759097003225, 1.071465356501743, 1.0730700544746112, 1.0847668395405203]","[0.0, 1.207058935327313, 1.4220797812943065, 0.8292809471707906, 0.8480504492384027, 0.8970194286488857, 0.6412091752796293, 0.6412091752796293, 0.545129867000513, 0.5855793050144036, 0.7210421276395393, 0.8645855233460225, 0.813763936298057, 0.6309431444074918]","[0.5858283903660139, 2.5430891415888683, 1.2904422608062411, 0.20517492012818903, 0.30236304018890964, 0.7964026504975755, 0.24297030015180276, 0.09448845005903435, 0.16467987010288848, 0.36445545022770437, 0.40225083025131764]","[0.34285809021421076, 0.5129373003204717, -0.10528713006578108, 0.043194720026987155, 0.20247525012650214, 0.4481452202799917, 0.15658086009782848, 0.048594060030360486, 0.043194720026987155, 0.15658086009782848, 0.13498350008433474]","[40.0, 0.0, 0.0, 0.0]","[-22.05333231328567, -37.02238984229962, -26.995510711563945, 2.751371748550689]"
137,"[1.06, 1.045, 1.0099999999999998, 1.0397668431620632, 1.0389032039642139, 1.07, 1.0857183344559647, 1.0900000000000003, 1.0949168686032245, 1.0903948347617751, 1.0803499570527892, 1.0715942700336456, 1.0732475847282936, 1.0851399643085267]","[0.0, 1.25596932006869, 1.5352284577179747, 0.9185142136875977, 0.9251413139184403, 1.0178099347368088, 0.7533707272676874, 0.7533707272676873, 0.6690151966016522, 0.7110082513037339, 0.8451028935120838, 0.9920544675411462, 0.9414894306868421, 0.7639639119236834]","[0.410070739272965, 1.7801227483646662, 0.9032894625459772, 0.14361924509099222, 0.211649413818304, 0.5574694381821407, 0.17007542181828025, 0.06614044181822006, 0.11527334145461213, 0.25511313272742053, 0.2815693094547082]","[0.2399953174546845, 0.35904811272747994, -0.07369934945458803, 0.030235630545472042, 0.1417295181819001, 0.31369466690927245, 0.10960416072733618, 0.034015084363656, 0.030235630545472042, 0.10960416072733618, 0.09448634545460005]","[40.0, 0.0, 0.0, 0.0]","[-22.376541343651027, -37.46275583748093, -27.26468451699581, 2.64945526142429]"
138,"[1.06, 1.045, 1.0100000000000002, 1.0397854065735952, 1.0389178161052712, 1.0699999999999998, 1.0857408409723759, 1.0900000000000005, 1.0949551535499802, 1.0904343154736207, 1.0803737616933267, 1.071611910909771, 1.073271875886077, 1.0851910035427712]","[0.0, 1.262662422285813, 1.5507139858971304, 0.9307269635055276, 0.9356922511675786, 1.0343414699923552, 0.7687216284547497, 0.7687216284547496, 0.6859704829044369, 0.7281747401944024, 0.8620821338612396, 1.0095001073780099, 0.9589702051222682, 0.7821691029944847]","[0.386009031889093, 1.6756705439609456, 0.8502871762349598, 0.13519210333442877, 0.19923046807178946, 0.5247588221533747, 0.1600959118434025, 0.06225952127243426, 0.10850945136052831, 0.24014386776510388, 0.26504767627407727]","[0.2259131200456903, 0.33798025833607137, -0.06937489513214101, 0.028461495438827106, 0.13341325986950198, 0.29528801517783126, 0.10317292096574829, 0.032019182368680454, 0.028461495438827106, 0.10317292096574829, 0.08894217324633463]","[40.0, 0.0, 0.0, 0.0]","[-22.420524511092978, -37.52295104172581, -27.301462245169542, 2.635528436054983]"
139,"[1.06, 1.0449999999999997, 1.01, 1.0398100851194338, 1.038937234475178, 1.07, 1.0857707710661602, 1.09, 1.0950060745164134, 1.090486829777849, 1.0804054260031448, 1.071635379790179, 1.073304191141357, 1.0852588970489772]","[0.0, 1.27156674817289, 1.5713161904634048, 0.946975116049391, 0.9497294992237405, 1.056335355537972, 0.7891448997416133, 0.7891448997416134, 0.7085282060690143, 0.7510134296158016, 0.8846717049332222, 1.0327101676621657, 0.982227017704933, 0.8063895817350486]","[0.3539941348021084, 1.5366934331040816, 0.7797658821908185, 0.12397951264958623, 0.18270665022044258, 0.4812362662056306, 0.1468178439271416, 0.05709582819388836, 0.09950987199506259, 0.22022676589071252, 0.24306509716826757]","[0.20717629087496658, 0.30994878162396505, -0.06362106570176129, 0.026100950031491835, 0.1223482032726179, 0.2707973565767278, 0.09461594386415793, 0.029363568785428278, 0.026100950031491835, 0.09461594386415793, 0.08156546884841191]","[40.0, 0.0, 0.0, 0.0]","[-22.478946673663195, -37.603008375396655, -27.35036902441518, 2.617007969279218]"
140,"[1.06, 1.0450000000000004, 1.01, 1.039722442699491, 1.0388682352337464, 1.07, 1.0856645276088461, 1.0899999999999999, 1.0948253609620588, 1.0903004766305235, 1.0802930674268554, 1.0715521199156872, 1.0731895423040305, 1.085017994372627]","[0.0, 1.2399772699961484, 1.4982301184271125, 0.8893355413737588, 0.8999330745759812, 0.9783125981482624, 0.7166945018232922, 0.7166945018232922, 0.6285056139345745, 0.6699940037668569, 0.8045360246112088, 0.9503732246719988, 0.8997242660847259, 0.7204676694404649]","[0.4675521402664179, 2.0296503047509913, 1.029907479480864, 0.16375098000114158, 0.2413172336858925, 0.6356123565833783, 0.19391563421187819, 0.07541163552684148, 0.13143170763249518, 0.2908734513178175, 0.32103810552855366]","[0.2736365060545394, 0.4093774500028533, -0.08403010815848047, 0.03447389052655612, 0.16159636184323173, 0.35766661421301976, 0.12496785315876598, 0.03878312684237559, 0.03447389052655612, 0.12496785315876598, 0.10773090789548778]","[40.0, 0.0, 0.0, 0.0]","[-22.271210955477702, -37.31886476818674, -27.176754558356674, 2.68275044357512]"
141,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.0397524774392088, 1.038891892800793, 1.07, 1.085700921478164, 1.09, 1.0948872516418189, 1.0903642940515776, 1.0803315432368394, 1.0715806256551819, 1.073228796250404, 1.0851004845592944]","[0.0, 1.2507925361985128, 1.5232514622907098, 0.9090685353419503, 0.9169809331821437, 1.0050239489747068, 0.7414979346378984, 0.7414979346378985, 0.6559015003623856, 0.6977311949545352, 0.8319706611871491, 0.9785614998984072, 0.9279692926613583, 0.7498834386570671]","[0.4286795822501031, 1.860903992993533, 0.9442803701177376, 0.1501366278848286, 0.22125397793553653, 0.5827671740266371, 0.17779337512677068, 0.06914186810485523, 0.12050439869703343, 0.2666900626901562, 0.29434680993209794]","[0.2508862071233321, 0.3753415697120709, -0.07704379588826724, 0.03160771113364812, 0.1481611459389755, 0.32793000301159925, 0.11457795285947447, 0.03555867502535409, 0.03160771113364812, 0.11457795285947447, 0.0987740972926503]","[40.0, 0.0, 0.0, 0.0]","[-22.342481891003793, -37.41618686409988, -27.236229322999517, 2.6602302519450447]"
142,"[1.06, 1.045, 1.01, 1.0397208568783622, 1.0388669857842865, 1.0699999999999998, 1.0856626064727524, 1.0900000000000003, 1.0948220942937381, 1.0902971084023347, 1.080291036760671, 1.0715506156085794, 1.073187470746976, 1.0850136408419104]","[0.0, 1.239406527201628, 1.4969097243063798, 0.8882942222131622, 0.8990334518591561, 0.9769030237148342, 0.7153856152484426, 0.7153856152484425, 0.6270599194487378, 0.668530297394305, 0.8030882842718503, 0.9488857135195947, 0.8982337605272217, 0.7189153778195897]","[0.4696033416132237, 2.038554598155098, 1.0344257939682981, 0.16446937309956206, 0.24237591825198582, 0.638400856110142, 0.1947663628810603, 0.07574247445374564, 0.13200831261938528, 0.2921495443215907, 0.32244653410308854]","[0.274836978732163, 0.4111734327489045, -0.0843987572484594, 0.03462513117885516, 0.16230530240088353, 0.35923573598062236, 0.12551610052335002, 0.03895327257621201, 0.03462513117885516, 0.12551610052335002, 0.1082035349339223]","[40.0, 0.0, 0.0, 0.0]","[-22.267445550924347, -37.313727732228614, -27.17361496059623, 2.6839392249219785]"
143,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0398260421163945, 1.038949785839979, 1.07, 1.0857901294728844, 1.0899999999999999, 1.0950390144638857, 1.0905208021995916, 1.0804259108979806, 1.0716505648359254, 1.0733250994665533, 1.085302821537015]","[0.0, 1.2773281222790003, 1.58464686026262, 0.957488558764101, 0.958812373904269, 1.0705665475661805, 0.802359898356122, 0.8023598983561221, 0.7231242734920322, 0.7657912835521207, 0.8992883668176181, 1.047728307478217, 0.9972754138862747, 0.8220614519469848]","[0.33327717161224485, 1.446760809487255, 0.7341312812472484, 0.11672380203931146, 0.1720140240579324, 0.45307265265259034, 0.138225555046553, 0.05375438251810393, 0.09368620953155257, 0.2073383325698297, 0.22884008557707097]","[0.1950516165656916, 0.2918095050982782, -0.059897740520172923, 0.02457343200827609, 0.11518796253879414, 0.25494935708586447, 0.08907869103000086, 0.02764511100931057, 0.02457343200827609, 0.08907869103000086, 0.07679197502586273]","[40.0, 0.0, 0.0, 0.0]","[-22.516691715324445, -37.65479287065082, -27.382000239867946, 2.6050291652319633]"
144,"[1.06, 1.045, 1.0099999999999998, 1.0398350312756997, 1.038956854946019, 1.07, 1.0858010367767628, 1.0900000000000003, 1.0950575758536454, 1.0905399459929974, 1.0804374545795246, 1.071659122664346, 1.0733368825593619, 1.0853275744534325]","[0.0, 1.280575062925559, 1.592159773657271, 0.9634137588188968, 0.9639313325678819, 1.0785869901490805, 0.8098076590026297, 0.8098076590026296, 0.7313503681411364, 0.774119825182564, 0.9075260637030381, 1.0561922662615744, 1.0057564264063685, 0.8308938195276994]","[0.32160089351967464, 1.3960739248642082, 0.7084111848037066, 0.1126344143202546, 0.1659875579456381, 0.4371993713746723, 0.13338285906345937, 0.05187111185801196, 0.090403937809678, 0.20007428859518922, 0.22082273333839372]","[0.18821803445621502, 0.28158603580063607, -0.05779923892749902, 0.02371250827794833, 0.11115238255288278, 0.24601727338371399, 0.08595784250756273, 0.026676571812691844, 0.02371250827794833, 0.08595784250756273, 0.07410158836858849]","[40.0, 0.0, 0.0, 0.0]","[-22.53794435435603, -37.68397186652123, -27.39982216587046, 2.598279825903429]"
145,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0398100186775145, 1.0389371822063804, 1.07, 1.0857706904709297, 1.09, 1.0950059373849559, 1.0904866883510314, 1.0804053407259013, 1.0716353165792987, 1.073304104105192, 1.085258714196731]","[0.0, 1.2715427652948352, 1.5712606995379295, 0.9469313523639145, 0.9496916904922508, 1.056276116108992, 0.7890898904919006, 0.7890898904919004, 0.7084674478632067, 0.7509519146750315, 0.8846108609789258, 1.0326476524789083, 0.9821643765836253, 0.8063243451993296]","[0.35408036949239213, 1.5370677790867882, 0.7799558369463745, 0.12400971466092985, 0.1827511584476858, 0.4813534976970301, 0.14685360946689058, 0.057109737014901865, 0.09953411308311469, 0.22028041420033603, 0.24312430900629647]","[0.20722676002550128, 0.3100242866523241, -0.0636365641023192, 0.02610730834966943, 0.12237800788907544, 0.27086332412782044, 0.09463899276755174, 0.029370721893378082, 0.02610730834966943, 0.09463899276755174, 0.08158533859271692]","[40.0, 0.0, 0.0, 0.0]","[-22.478789460534262, -37.60279278726722, -27.350237331800596, 2.617057840866755]"
146,"[1.06, 1.045, 1.0099999999999998, 1.0398731903492575, 1.038986851021068, 1.0699999999999998, 1.085847354525475, 1.09, 1.0951364102659087, 1.0906212589317525, 1.0804864881172946, 1.071695479177643, 1.0733869394555988, 1.085432720374268]","[0.0, 1.2943691999482434, 1.624078383441198, 0.9885871507651766, 0.9856794057809091, 1.1126619337618864, 0.8414497680823333, 0.8414497680823333, 0.7662991465695402, 0.809503813739122, 0.9425240987669551, 1.0921515469627807, 1.0417881745456947, 0.8684181138190314]","[0.27198949532403055, 1.1807101594250529, 0.5991289344003985, 0.09525899375403825, 0.1403816750059509, 0.36975530470317464, 0.11280670312978212, 0.043869273439359695, 0.07645787656574118, 0.16921005469467332, 0.18675776407041694]","[0.1591827921942482, 0.23814748438509525, -0.04888290468957222, 0.02005452500085015, 0.09400558594148506, 0.20806569688382037, 0.07269765312808184, 0.022561340625956397, 0.02005452500085015, 0.07269765312808184, 0.06267039062765668]","[40.0, 0.0, 0.0, 0.0]","[-22.62807742125075, -37.80789246561615, -27.47549979797286, 2.569618828970974]"
147,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0398745414612967, 1.0389879127357415, 1.0700000000000003, 1.0858489949941301, 1.09, 1.095139202806542, 1.0906241394152483, 1.0804882251716628, 1.0716967673111817, 1.0733887129540725, 1.0854364453804868]","[0.0, 1.2948579361316128, 1.6252093163299441, 0.9894790940401845, 0.9864499838702309, 1.1138692722526715, 0.842570913005143, 0.8425709130051428, 0.7675374502008444, 0.810757536572283, 0.9437641465951153, 1.093425652595478, 1.043064848263087, 0.869747665577556]","[0.27023153503582864, 1.17307882951037, 0.5952565610466634, 0.09464330259319334, 0.13947434066365313, 0.3673654508551582, 0.11207759517615, 0.04358573145739165, 0.07596370339716829, 0.16811639276422513, 0.18555068534718153]","[0.1581539398596784, 0.23660825648298298, -0.04856695790966496, 0.019924905809093327, 0.09339799598012495, 0.20672089776934333, 0.07222778355796336, 0.02241551903522997, 0.019924905809093327, 0.07222778355796336, 0.06226533065341661]","[40.0, 0.0, 0.0, 0.0]","[-22.63126628057016, -37.812281815183695, -27.478180037797344, 2.568603722054151]"
148,"[1.06, 1.045, 1.0100000000000002, 1.03989865201624, 1.0390068547716422, 1.0700000000000005, 1.085878274635729, 1.0899999999999999, 1.0951890497002446, 1.0906755577765397, 1.08051923330166, 1.0717197637603033, 1.0734203738446446, 1.0855029418293867]","[0.0, 1.3035831329201617, 1.6453997618482323, 1.0054029413246905, 1.000207108272306, 1.1354238136193002, 0.8625867180376383, 0.8625867180376381, 0.789644851241403, 0.8331402030181478, 0.9659026745025127, 1.116172201904886, 1.0658572503743047, 0.8934840312372525]","[0.23884520630970424, 1.0368303425978853, 0.5261198553734493, 0.08365085566607144, 0.12327494519210509, 0.32469740028277716, 0.09906022381508459, 0.03852342037253288, 0.0671408183635573, 0.148590335722627, 0.16399970387163992]","[0.13978498249461943, 0.20912713916517828, -0.04292609698653662, 0.01761070645601503, 0.08255018651257044, 0.182711079481156, 0.06383881090305454, 0.01981204476301689, 0.01761070645601503, 0.06383881090305454, 0.05503345767504695]","[40.0, 0.0, 0.0, 0.0]","[-22.688142399833268, -37.890628627295285, -27.526016846016372, 2.550485749108855]"
